Current Year Week Ending,Geography,Timeframe,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,Elasticity,California Supplier
2022-01-10,California,Weekly,Organic and Conventional,1.5498553965,6931099.15,3312690.24,1426780.66,597869.13,1593759.1199999999,-2.5637535107861176,"93,645"
2022-01-16,California,Weekly,Organic and Conventional,1.588347766,6574917.53,3390417.4000000004,1064559.32,477560.8,1642380.0,-3.274707894090217,"561,610"
2022-01-23,California,Weekly,Organic and Conventional,1.598995991,6562370.45,3205321.5700000003,1263424.14,583577.11,1510047.61,-0.9031585357164869,"2,995,383"
2022-01-30,California,Weekly,Organic and Conventional,1.5240716195,7247391.11,3459725.8800000004,1483844.15,700556.9,1603264.19,-0.1412716182899183,"5,184,868"
2022-02-06,California,Weekly,Organic and Conventional,1.612582137,6524226.05,3270327.9899999998,1098141.15,527319.89,1628437.02,-0.7773961254102882,"5,577,043"
2022-02-13,California,Weekly,Organic and Conventional,1.5274666975,9317996.7,4242352.55,1628786.7100000002,866887.67,2579969.78,-2.478209007571391,"4,051,727"
2022-02-20,California,Weekly,Organic and Conventional,1.600973177,6758030.25,3385555.77,995042.33,768153.99,1609278.1600000001,1.4934918989541446,"7,567,540"
2022-02-27,California,Weekly,Organic and Conventional,1.6453931515,6366037.8,2871112.5,1429678.52,551259.0,1513987.78,-3.3240803718770593,"8,065,752"
2022-03-06,California,Weekly,Organic and Conventional,1.6542509315,5918030.91,3000145.7,846889.15,503668.8,1567327.25,24.638101909989118,"7,615,250"
2022-03-13,California,Weekly,Organic and Conventional,1.6872119314999998,6598635.47,4033628.98,642307.85,476353.55,1446345.0899999999,-6.999669118083075,"8,002,957"
2022-03-20,California,Weekly,Organic and Conventional,1.6772869605,6041096.569999999,3508661.36,456629.73,540186.94,1535618.54,0.613029196249135,"7,576,490"
2022-03-27,California,Weekly,Organic and Conventional,1.6995526105,6681907.83,4141707.4899999998,531703.53,522950.01,1485546.79,0.6342694693288273,"6,952,970"
2022-04-03,California,Weekly,Organic and Conventional,1.742892265,5996178.039999999,3392329.36,514643.55,547315.47,1541889.65,-2.604199428259817,"5,472,317"
2022-04-10,California,Weekly,Organic and Conventional,1.7725450125,6255838.08,3674289.1999999997,494867.04,510145.41,1576536.42,-168.39402266355987,"8,757,166"
2022-04-17,California,Weekly,Organic and Conventional,1.8044388765,6358828.07,3772020.21,589679.05,454381.06,1542747.75,-0.5193374800237398,"11,074,596"
2022-04-24,California,Weekly,Organic and Conventional,1.7683867665,6014502.42,3485713.1799999997,576716.29,422167.8,1529905.16,15.456957396037428,"13,582,443"
2022-05-01,California,Weekly,Organic and Conventional,1.7480378245000001,7602062.23,3858764.9400000004,712060.36,560003.66,2471233.26,-0.1391199605793938,"15,179,931"
2022-05-08,California,Weekly,Organic and Conventional,1.784792063,6547170.05,3676075.52,536803.02,651031.97,1683259.53,-1.5158822335841928,"14,357,970"
2022-05-15,California,Weekly,Organic and Conventional,1.8243178085,6360687.11,3965534.21,386271.8,536176.84,1472704.26,-0.9401766956532316,"12,408,200"
2022-05-22,California,Weekly,Organic and Conventional,1.8494114335000003,5659833.42,3347504.13,410365.67,419224.61,1482739.02,0.20816997517560454,"12,076,707"
2022-05-29,California,Weekly,Organic and Conventional,1.8768113325,5848357.4,3657655.0,418508.17,338693.71,1433500.52,-4.75731674662968,"13,654,702"
2022-06-05,California,Weekly,Organic and Conventional,1.8358624765,6066340.4799999995,3908092.4499999997,423231.75,312699.3,1422316.98,-2.3492823555805638,"9,778,625"
2022-06-12,California,Weekly,Organic and Conventional,1.8342305775,5875788.14,3425625.8800000004,487346.26,457750.16,1505065.86,-1.2243189708439424,"11,579,045"
2022-06-19,California,Weekly,Organic and Conventional,1.857480604,6201390.680000001,3694865.7899999996,454894.12,589551.85,1462078.93,-10.361586314413898,"11,341,954"
2022-06-26,California,Weekly,Organic and Conventional,1.8228689345,6257396.96,3839628.14,410578.73,551098.9199999999,1456091.1700000002,-1.524421570952129,"10,692,633"
2022-07-03,California,Weekly,Organic and Conventional,1.862831054,6161504.96,3615241.21,420235.38,630974.81,1495053.55,-1.3094384778903154,"11,415,143"
2022-07-10,California,Weekly,Organic and Conventional,1.8567121814999998,6133429.21,3523041.72,421925.57999999996,672301.36,1516160.54,-1.0886835224444456,"8,920,795"
2022-07-17,California,Weekly,Organic and Conventional,1.878975507,6509007.54,3902679.7,477535.76,625921.68,1502870.42,8.430664210776213,"9,133,156"
2022-07-24,California,Weekly,Organic and Conventional,1.854892409,6149985.3100000005,3594465.3800000004,420065.77,622201.2,1513252.97,0.2499824620606398,"6,484,828"
2022-07-31,California,Weekly,Organic and Conventional,1.8071370884999998,6442245.840000001,3904967.44,472833.58,558933.49,1505511.33,-0.9193436464201794,"4,243,337"
2022-08-07,California,Weekly,Organic and Conventional,1.8567591455,6654050.73,3933308.6,587075.48,608642.71,1525023.9500000002,0.6306812772097722,"2,357,179"
2022-08-14,California,Weekly,Organic and Conventional,1.7695559815,6192681.87,3569039.65,433012.72000000003,722253.6699999999,1468375.83,2.0091718702494465,"2,234,021"
2022-08-21,California,Weekly,Organic and Conventional,1.746004342,6180808.63,3375296.3,770373.55,661154.82,1373983.96,-1.3647898111681167,"2,082,533"
2022-08-28,California,Weekly,Organic and Conventional,1.6847782525000001,6467984.38,3921612.88,615481.34,601473.1499999999,1329417.02,-3.3993228883200675,"1,760,630"
2022-09-04,California,Weekly,Organic and Conventional,1.7355815175,6942087.4,4154790.98,661861.4199999999,767750.6900000001,1357684.33,-1.501641018952924,"1,365,900"
2022-09-11,California,Weekly,Organic and Conventional,1.6859811595,6421625.17,3531339.94,688681.82,811913.72,1389689.69,-2.1932991282679537,"484,625"
2022-09-18,California,Weekly,Organic and Conventional,1.665417428,6770882.45,4206074.84,627871.11,669514.97,1267421.53,3.934062364917314,"455,125"
2022-09-25,California,Weekly,Organic and Conventional,1.6522288,6017979.46,3389857.5100000002,722808.26,614801.2,1290512.48,-9.235484103966197,"345,600"
2022-10-02,California,Weekly,Organic and Conventional,1.600644102,6008632.18,3092572.46,873506.8,736763.0299999999,1305789.88,1.521795170580473,"345,600"
2022-10-09,California,Weekly,Organic and Conventional,1.6160269915,6663356.17,3674166.1,871149.81,847350.34,1270689.92,-1.8793923935165444,"14,400"
2022-10-16,California,Weekly,Organic and Conventional,1.5955749629999998,5666998.16,3098022.7199999997,591305.58,625013.8,1352656.0699999998,-37.67352366838292,0
2022-10-23,California,Weekly,Organic and Conventional,1.6109017749999999,5982159.03,3514695.5100000002,570210.0900000001,585558.63,1311694.8,2.1938561193946082,0
2022-10-30,California,Weekly,Organic and Conventional,1.5210523075,6248255.79,3292157.0,991257.9,674051.27,1290789.6199999999,2.7863484569089265,0
2022-11-06,California,Weekly,Organic and Conventional,1.5439504240000002,6199121.859999999,3467757.95,503637.89,736313.8099999999,1491412.21,-7.009227683109397,0
2022-11-13,California,Weekly,Organic and Conventional,1.577519392,5532188.22,3183589.76,335039.51,533206.1499999999,1480352.8,1.052425528266729,0
2022-11-20,California,Weekly,Organic and Conventional,1.5063493074999998,5277544.37,2918415.88,420024.35,579860.9800000001,1359243.16,-4.935102827094642,0
2022-11-27,California,Weekly,Organic and Conventional,1.502071605,5081424.54,2677306.55,369652.13999999996,562130.36,1472335.5,7.318941320389331,0
2022-12-04,California,Weekly,Organic and Conventional,1.4570453435,5759488.19,3418525.84,473670.62,585497.46,1281794.27,-14.003194605077798,0
2022-12-11,California,Weekly,Organic and Conventional,1.445170095,5552875.909999999,3055288.45,437408.74,735072.85,1325105.88,7.547531384649941,"239,157"
2022-12-18,California,Weekly,Organic and Conventional,1.4381818929999999,5679172.16,3100008.73,525145.0700000001,669284.1,1384734.25,-1.4050114736622556,0
2022-12-25,California,Weekly,Organic and Conventional,1.5114720915,5581295.600000001,2916871.9699999997,560298.73,672088.58,1432036.3399999999,1.9687797379340561,0
2023-01-01,California,Weekly,Organic and Conventional,1.483105062,6624635.25,3577799.92,547296.1900000001,1122104.37,1377434.78,-0.5668619258448528,0
2023-01-09,California,Weekly,Organic and Conventional,1.240652296,6900252.68,4082956.55,468921.39,904392.6699999999,1443982.06,-2.3156126096223426,0
2023-01-15,California,Weekly,Organic and Conventional,1.247303484,6314631.72,3495850.88,619151.19,750130.23,1449499.4200000002,-0.8039714304529426,0
2023-01-22,California,Weekly,Organic and Conventional,1.395019788,6393184.16,3557513.71,609330.0599999999,756400.42,1469939.95,-1.3627403700151448,"73,850"
2023-01-29,California,Weekly,Organic and Conventional,1.358003392,6944959.489999999,4123559.13,412992.79000000004,829266.0,1579141.56,-0.706308311169406,"202,930"
2023-02-05,California,Weekly,Organic and Conventional,1.4183018105,6519015.13,3786333.5700000003,417386.39999999997,822049.96,1493245.21,-3.636493425596475,"163,025"
2023-02-12,California,Weekly,Organic and Conventional,1.331903537,8262067.06,4432465.47,693447.13,1564800.2899999998,1571354.1800000002,-3.120661745614699,"493,996"
2023-02-19,California,Weekly,Organic and Conventional,1.4230622325,6290800.94,3378274.79,530963.02,952153.8500000001,1429409.27,-2.322408135363388,"771,052"
2023-02-26,California,Weekly,Organic and Conventional,1.3447492415000002,6558029.41,3845879.4299999997,552251.59,707779.05,1452119.3399999999,-1.102668300772517,"528,320"
2023-03-05,California,Weekly,Organic and Conventional,1.4048595885,6527525.0,3544940.23,715571.44,728015.91,1538997.4100000001,-0.6035610810204594,"305,633"
2023-03-12,California,Weekly,Organic and Conventional,1.3109085105,6876212.91,3307826.2600000002,1129912.5,894059.11,1544415.03,-0.9129975055561166,"1,424,850"
2023-03-19,California,Weekly,Organic and Conventional,1.30692449,6720866.25,3400991.96,962606.8500000001,791300.35,1565967.0899999999,8.0798585138361,"1,015,807"
2023-03-26,California,Weekly,Organic and Conventional,1.2663027960000002,6699740.97,3498237.1599999997,944442.75,708578.4700000001,1548482.5899999999,-0.8071845634647423,"863,874"
2023-04-02,California,Weekly,Organic and Conventional,1.3417432995,6684423.0,3503631.45,640463.6000000001,959199.29,1581128.65,0.5680467374053898,"2,417,313"
2023-04-09,California,Weekly,Organic and Conventional,1.2980637800000001,7307305.99,3462768.28,1030727.37,1195286.8900000001,1618523.4500000002,-2.4778661084093736,"4,867,815"
2023-04-16,California,Weekly,Organic and Conventional,1.363059701,6886079.1899999995,3471822.1,1083539.5,818414.06,1512303.5299999998,-1.7646590526564938,"7,032,154"
2023-04-23,California,Weekly,Organic and Conventional,1.318522028,7125386.75,3334890.6500000004,1218563.84,993434.5900000001,1578497.66,-1.3172765836821454,"9,505,468"
2023-04-30,California,Weekly,Organic and Conventional,1.403257322,6709753.02,3217970.67,1052229.49,889754.77,1549798.1099999999,-0.6025268056848725,"12,432,701"
2023-05-07,California,Weekly,Organic and Conventional,1.3073944544999998,8050934.58,3592746.5500000003,1440592.56,1416690.2200000002,1600905.28,1.4514920615007227,"9,900,439"
2023-05-14,California,Weekly,Organic and Conventional,1.3987734134999998,6518143.81,3038636.93,894223.29,1019564.33,1565719.2599999998,-1.809618200766003,"11,810,377"
2023-05-21,California,Weekly,Organic and Conventional,1.409731139,6702609.02,3140987.8899999997,1342679.72,707129.4500000001,1511811.96,-1.014587416716847,"10,572,446"
2023-05-28,California,Weekly,Organic and Conventional,1.39589792,6879044.279999999,3341738.46,1066320.41,1017506.26,1453479.14,-6.954532823406368,"11,821,530"
2023-06-04,California,Weekly,Organic and Conventional,1.4002157925,7025784.77,3254874.35,1465934.98,836642.2000000001,1468333.24,20.768158807373453,"9,541,482"
2023-06-11,California,Weekly,Organic and Conventional,1.4352708330000001,6686044.149999999,2897217.2399999998,1067789.8699999999,1217132.5599999998,1503904.49,-1.7196747946231659,"10,934,561"
2023-06-18,California,Weekly,Organic and Conventional,1.4615141315,6512856.63,3117628.58,827257.99,1119307.8199999998,1448662.23,-1.308252114834887,"12,278,471"
2023-06-25,California,Weekly,Organic and Conventional,1.422566027,6616829.66,3057693.61,1193611.1600000001,999991.9600000001,1365532.9300000002,3.921558030213893,"14,239,754"
2023-07-02,California,Weekly,Organic and Conventional,1.4848162440000001,6912714.899999999,3161045.46,929927.77,1444763.43,1376978.25,4.283693035403554,"15,269,673"
2023-07-09,California,Weekly,Organic and Conventional,1.4654206885,6687620.1899999995,3329464.04,919872.41,950398.86,1487884.8800000001,9.984799401922459,"11,692,051"
2023-07-16,California,Weekly,Organic and Conventional,1.454193449,6556912.24,3221559.03,1153145.96,832614.1,1349593.14,-0.41547551868455135,"15,539,883"
2023-07-23,California,Weekly,Organic and Conventional,1.4983746025,6314111.76,3276223.86,823732.5499999999,900166.29,1313989.07,-1.475881393404734,"11,230,357"
2023-07-30,California,Weekly,Organic and Conventional,1.5113143820000001,6090871.609999999,3226197.3200000003,789223.24,725107.29,1350343.76,27.348128145760462,"9,845,532"
2023-08-06,California,Weekly,Organic and Conventional,1.5190907365,6026994.81,3169548.65,923830.3099999999,628232.54,1305383.31,14.069699532721284,"8,544,499"
2023-08-13,California,Weekly,Organic and Conventional,1.4572348965000002,6420428.380000001,3935396.35,471382.25,598518.7000000001,1415131.0799999998,-1.299682722357256,"6,082,718"
2023-08-20,California,Weekly,Organic and Conventional,1.4898862115,6727815.28,3623287.24,616794.47,848795.85,1638937.72,-1.0324289452676936,"5,535,384"
2023-08-27,California,Weekly,Organic and Conventional,1.4071778015,6474919.67,4014137.91,410129.71,655406.29,1395245.76,2.2550693188229953,"3,353,256"
2023-09-03,California,Weekly,Organic and Conventional,1.511525434,6402103.39,3613920.25,509036.99,845295.29,1433850.85,0.10097423407562031,"2,615,314"
2023-09-10,California,Weekly,Organic and Conventional,1.495000792,6532106.48,3656686.71,441910.15,968234.42,1465275.21,2.9297921432892,"1,816,711"
2023-09-17,California,Weekly,Organic and Conventional,1.490833973,6415426.07,3877389.66,420804.77999999997,722057.22,1395174.41,-0.8082580374936718,"1,000,047"
2023-09-24,California,Weekly,Organic and Conventional,1.522075228,6102687.27,3670406.75,503446.57,563942.17,1364891.7799999998,1.9948470367560522,"191,707"
2023-10-01,California,Weekly,Organic and Conventional,1.4345954399999998,6424414.6,3470341.12,546777.32,570896.5499999999,1836399.6099999999,-1.173835732393498,"3,700"
2023-10-08,California,Weekly,Organic and Conventional,1.3772196975000002,6777785.21,4043170.31,539940.71,709743.6900000001,1484930.4900000002,1.731515566627173,0
2023-10-15,California,Weekly,Organic and Conventional,1.4682298955,6094194.8,3608718.4099999997,419161.83,611725.2200000001,1454589.35,-1.1263266218883465,0
2023-10-22,California,Weekly,Organic and Conventional,1.4608252259999999,6085700.9,3775755.22,476387.63,475225.02,1358333.0100000002,-1.6609107800633394,0
2023-10-29,California,Weekly,Organic and Conventional,1.4284628305,6093382.029999999,3864114.3800000004,478157.75,424320.6,1326789.3099999998,-0.16662140013022744,0
2023-11-05,California,Weekly,Organic and Conventional,1.448338218,6316431.3,3846152.3699999996,524588.01,559346.57,1386344.3699999999,-0.854842982765984,0
2023-11-12,California,Weekly,Organic and Conventional,1.488730818,5828194.9399999995,3326878.8600000003,600328.62,510722.26999999996,1390265.19,1.9312584552774528,0
2023-11-19,California,Weekly,Organic and Conventional,1.4890435135,5515718.63,3227362.56,588333.56,406208.62999999995,1293813.88,-1.789916792183178,0
2023-11-26,California,Weekly,Organic and Conventional,1.5077713665,4818344.31,2785418.8899999997,480771.60000000003,377078.02,1175075.8,25.60772225908247,0
2023-12-03,California,Weekly,Organic and Conventional,1.3651423135,6566216.33,4327364.7299999995,605992.75,345533.61,1287325.24,-2.278500783342068,0
2023-12-10,California,Weekly,Organic and Conventional,1.4193491169999999,5997544.19,3369052.3699999996,509343.92,414860.06,1704287.8499999999,-0.2166439054664889,0
2023-12-17,California,Weekly,Organic and Conventional,1.3678730225,6146103.45,3958673.12,537361.09,386823.08,1263246.16,-5.73680423545093,0
2023-12-24,California,Weekly,Organic and Conventional,1.418175616,5797877.14,3627312.14,483954.49,379598.64,1307011.8800000001,2.3294291855062736,0
2023-12-31,California,Weekly,Organic and Conventional,1.352056794,6630802.0200000005,4577114.28,445620.31,364457.83999999997,1243609.58,-2.7376736120241327,0
2024-01-08,California,Weekly,Organic and Conventional,1.402299565,6836443.74,4322189.1899999995,526501.67,372634.26,1615118.6199999999,-1479.6430775887056,0
2024-01-14,California,Weekly,Organic and Conventional,1.416250934,6953652.890000001,4370571.52,631160.79,405630.18,1546290.41,0.7676342462965484,0
2024-01-21,California,Weekly,Organic and Conventional,1.4044449989999999,6619454.44,4042101.97,553114.99,403440.6,1620796.87,-2.4566011558964487,"23,551"
2024-01-28,California,Weekly,Organic and Conventional,1.3652886925,7008727.239999999,4338949.54,540813.15,542515.9,1586448.66,9.873138182113445,"59,745"
2024-02-04,California,Weekly,Organic and Conventional,1.447394283,6769593.02,3918792.83,556799.87,652181.46,1641818.8599999999,0.007770697993826042,"156,540"
2024-02-11,California,Weekly,Organic and Conventional,1.321543061,8986389.459999999,6023497.5,698208.3999999999,593364.46,1671319.1,-1.2583126934589641,"262,425"
2024-02-18,California,Weekly,Organic and Conventional,1.4044220985,6497363.12,4149161.85,402589.86,396612.93,1548998.46,-2.9178214395575632,"907,388"
2024-02-25,California,Weekly,Organic and Conventional,1.4067832825000002,6712068.010000001,3956623.08,609054.7,510495.98,1635894.25,-0.4967074714263449,"289,131"
2024-03-03,California,Weekly,Organic and Conventional,1.433281,6582939.78,3908931.96,475208.75,622517.12,1576281.96,2.1102343035249187,"1,327,020"
2024-03-10,California,Weekly,Organic and Conventional,1.3857355,7174081.06,4359792.140000001,611792.64,575604.04,1626892.26,-0.48029053607781474,"1,859,143"
2024-03-17,California,Weekly,Organic and Conventional,1.3713775,7051751.71,4305031.8100000005,622365.82,510441.53,1613912.5499999998,-1.5721974989645888,"3,776,984"
2024-03-24,California,Weekly,Organic and Conventional,1.384173,6706612.29,4112305.4800000004,541880.03,435595.16,1616831.6199999999,-2.6264806081016445,"5,685,112"
2024-03-31,California,Weekly,Organic and Conventional,1.4705300000000001,6686862.04,4098430.61,470446.57,527424.75,1590560.11,-0.7859331262317895,"7,663,572"
2024-04-07,California,Weekly,Organic and Conventional,1.436645,7090969.92,4294746.71,538847.46,606044.72,1651331.03,0.5047608869754305,"7,086,912"
2024-04-14,California,Weekly,Organic and Conventional,1.4686249999999998,7080583.99,3862903.92,603137.2000000001,940741.33,1673801.55,1.464252474254011,"11,245,154"
2024-04-21,California,Weekly,Organic and Conventional,1.466135,6850858.39,4063837.54,533167.2000000001,634317.43,1619536.21,2.7213181227135594,"13,312,927"
2024-04-28,California,Weekly,Organic and Conventional,1.5619299999999998,6603184.4399999995,4020648.02,467722.87,498490.04,1616323.52,-0.22694323873489897,"14,365,526"
2024-05-05,California,Weekly,Organic and Conventional,1.462885,8085144.67,5018614.89,615515.33,798353.37,1652661.08,-2.127168157227888,"13,238,426"
2024-05-12,California,Weekly,Organic and Conventional,1.5879750000000001,6947433.98,4017424.2199999997,608543.3,743710.13,1577756.34,-1.1295825664746055,"14,048,666"
2024-05-19,California,Weekly,Organic and Conventional,1.549995,6872303.109999999,4100057.93,497383.62999999995,638434.85,1636426.7,1.0432516972618926,"15,494,565"
2024-05-26,California,Weekly,Organic and Conventional,1.5896974695,6698681.880000001,4088885.22,420778.74,628340.68,1560677.2400000002,-28.07593252233251,"17,535,877"
2024-06-02,California,Weekly,Organic and Conventional,1.557523593,7167185.34,4605811.45,487070.80000000005,495427.44,1578875.65,-1.199915334363685,"12,488,684"
2024-06-09,California,Weekly,Organic and Conventional,1.587593126,6905363.0,4253752.21,376694.06,641728.7799999999,1633187.97,-2.338958576329339,"15,242,930"
2024-06-16,California,Weekly,Organic and Conventional,1.5766727595,6841211.49,4117282.12,402733.75999999995,662430.21,1658765.41,-1.3965579759630187,"16,849,650"
2024-06-23,California,Weekly,Organic and Conventional,1.524644075,7496564.95,4701530.180000001,458978.24,700433.86,1635622.67,-1.7936861929386168,"19,127,552"
2024-06-30,California,Weekly,Organic and Conventional,1.5808465025,7119280.07,4445981.140000001,393166.66000000003,658662.95,1621469.3199999998,-8.710516632314146,"21,088,040"
2024-07-07,California,Weekly,Organic and Conventional,1.54667592,8057296.7,5335612.58,509683.08999999997,525369.1100000001,1686631.9200000002,-13.02608860681249,"16,572,446"
2024-07-14,California,Weekly,Organic and Conventional,1.60243233,7105597.97,4334936.68,432092.77,572208.51,1766360.01,-5.764777569870108,"16,880,943"
2024-07-21,California,Weekly,Organic and Conventional,1.6092877049999998,7235247.48,4508039.56,386138.57,651794.76,1689274.5999999999,-0.9335726954943768,"13,925,369"
2024-07-28,California,Weekly,Organic and Conventional,1.573510004,7363696.1899999995,4654754.41,421142.0,617954.48,1669845.29,-0.5738480119321372,"12,316,896"
2024-08-04,California,Weekly,Organic and Conventional,1.5970918215,6959052.109999999,4245348.2700000005,385063.66000000003,583004.96,1745635.21,-0.3685627331766219,"11,567,649"
2024-08-11,California,Weekly,Organic and Conventional,1.6163420885,7262137.14,4423650.96,354504.19,714086.49,1769895.5099999998,6.06581531990903,"12,446,470"
2024-08-18,California,Weekly,Organic and Conventional,1.6417804615,6847541.63,4077506.86,342156.81,623268.43,1804609.5299999998,4.012536054628815,"12,655,420"
2024-08-25,California,Weekly,Organic and Conventional,1.6627357090000001,6792669.96,4273507.84,363371.61000000004,481280.74000000005,1674509.78,-10.00935072829755,"11,247,875"
2024-09-01,California,Weekly,Organic and Conventional,1.586010535,7307374.18,4849094.96,399130.43,493291.15,1565857.6300000001,-1.0144194453053557,"9,372,390"
2024-09-08,California,Weekly,Organic and Conventional,1.650088796,6986040.9,4412858.0,383350.59,515063.1,1674769.22,13.953875882268507,"5,729,078"
2024-09-15,California,Weekly,Organic and Conventional,1.5953265509999999,6774519.9399999995,4259833.5600000005,386643.58,458252.47000000003,1669790.33,1.2581086712137823,"3,281,983"
2024-09-22,California,Weekly,Organic and Conventional,1.592724394,6838255.84,4519651.989999999,372219.85,423607.34,1522776.6500000001,-0.6410927094607972,"2,482,685"
2024-09-29,California,Weekly,Organic and Conventional,1.663747022,6425820.51,3961991.6300000004,398663.63,498488.29000000004,1566676.98,-1.3234067873243682,"1,622,865"
2024-10-06,California,Weekly,Organic and Conventional,1.6583052815000001,6867093.29,4286173.42,476449.81,523020.07999999996,1581449.99,-10.93220223429951,"1,340,275"
2024-10-13,California,Weekly,Organic and Conventional,1.6319448405,6849095.82,4283950.75,450027.34,625520.03,1489597.71,-2.581897117628284,"1,203,050"
2024-10-20,California,Weekly,Organic and Conventional,1.7091869265,6173735.59,3795946.0999999996,385701.41,541844.1,1450243.97,6.3280584783853655,"258,650"
2024-10-27,California,Weekly,Organic and Conventional,1.5853669195,6957570.79,4524142.98,481349.73,427508.3,1524569.79,-2.759128584845099,0
2024-11-03,California,Weekly,Organic and Conventional,1.6730729429999998,6050568.49,3734917.11,419590.17000000004,391084.2,1504977.02,-3.5674142024560562,0
2024-11-10,California,Weekly,Organic and Conventional,1.6730729429999998,6050568.49,3734917.11,419590.17000000004,391084.2,1504977.02,,0
2024-11-17,California,Weekly,Organic and Conventional,1.6730729429999998,6050568.49,3734917.11,419590.17000000004,391084.2,1504977.02,,0
2024-11-24,California,Weekly,Organic and Conventional,1.6730729429999998,6050568.49,3734917.11,419590.17000000004,391084.2,1504977.02,,0
2024-12-01,California,Weekly,Organic and Conventional,1.6730729429999998,6050568.49,3734917.11,419590.17000000004,391084.2,1504977.02,,"2,100"
2024-12-08,California,Weekly,Organic and Conventional,1.6730729429999998,6050568.49,3734917.11,419590.17000000004,391084.2,1504977.02,,0
2024-12-15,California,Weekly,Organic and Conventional,1.6730729429999998,6050568.49,3734917.11,419590.17000000004,391084.2,1504977.02,,"7,900"
2024-12-22,California,Weekly,Organic and Conventional,1.6730729429999998,6050568.49,3734917.11,419590.17000000004,391084.2,1504977.02,,"3,900"
2024-12-29,California,Weekly,Organic and Conventional,1.6730729429999998,6050568.49,3734917.11,419590.17000000004,391084.2,1504977.02,,"5,900"
